Radio GaGa,Seoul Mapo-gu Donggyo-dong 198-27,Seoul
La bueno,None,Seoul
LA BUENO,None,Seoul
Rock&Rock,None,Seoul
Rock 'N' Roll,None,Seoul
Rock Camp,Incheon Bupyeong-gu Galsan-dong 381-3,Incheon
Rainbow,None,Seoul
Cafe Record Heart,None,Seoul
LOWRISE,Seoul Yeongdeungpo-gu Mullaedong3-ga 58-77,Seoul
Rollercoaster,Seoul Mapo-gu Seogyo-dong 446-60,Seoul
LotteHotelWorld CrystalBallroom,None,Seoul
Lydian,Seoul Mapo-gu Changjeon-dong 5-73,Seoul
Mario Outlet 3rd Bldg,Seoul Geumcheon-gu Gasan-dong 60-52Ho,Seoul
Mapo ArtCenter,Seoul Mapo-gu Daeheung-dong 30-3,Seoul
Magpie Brewing,None,Seoul
Mesenapolis Plaza,Seoul Mapo-gu Hapjeong-dong 416-33,Seoul
Mate musie,None,Daejeon
MyeongWeolGwan,Seoul Mapo-gu Seogyo-dong 362-12,Seoul
Momo Stage,Seoul Jung-gu Euljiro2-ga 181-0[Eulji-ro 66],Seoul
Mongmareuddeugongweon,Seoul Seocho-gu Banpo 4-dong,Seoul
MONKEY BUSINESS,None,Seoul
Mudaeruk,Seoul Mapo-gu Hapjeong-dong 357-7,Seoul
Jungdabang Mullae,None,Seoul
Munrae Bittarae,Mullae-dong 3-ga 54-16,None
MULLAE ART SPACE,None,Seoul
Munji Sai,"",None
Munteokupneun Bobjip,Seoul Mapo-gu Seogyo-dong 481-2,Seoul
Seoul Station 284,"",None
MusicTree,Daegu Buk-gu Sangyeok-dong 1331-8,Seoul
Miliore Square,Seoul Jung-gu Euljiro6-ga 18-185,Seoul
BARINSTAR,None,Seoul
Banwol Arthall,Gyeonggi-do Pocheon Gunnae-myeon Haseongbuk-ri 610,None
KNOU OUN TV Hall,Seoul Jongno-gu Daehak-ro 86,Seoul
Baekam Art hall,None,Seoul
Bezzang-e Hall,None,Seoul
Cafe Ben James,Seoul Mapo-gu Hapjeong-dong 411-5,Seoul
VELOSO,Seoul Mapo-gu Seogyo-dong 358-121,Seoul
ByulNaMu LiveHall,None,Seoul
BONOBONO,None,Seoul
EMU,None,Seoul
Bugyeong Univ. Gym,Busan Nam-gu Daeyeon3-dong 599-1,Busan
Busan OL 55,Busan Nam-gu Daeyeon-dong 60-4,Busan
Busan gwanganri haebyeon,"",Seoul
Busan Danurimhall,Busan Sasang-gu Gaya-daero 196Beon-gil 51,Busan
Busan baineoleondeogeuraundeu,Busan Nam-gu Daeyeon-dong 58-2[Suyeongno322beon-gil 32],Busan
Busan SasangIndieStation,None,Busan
Space Roots,"",Seoul
Citizenhall.busan,None,Busan
Busan Upstair,Busan Geumjeong-gu Jangjeon-dong 425-13,Busan
Busan Yeongdo Bridge,None,Busan
Busan Dureraum,Busan Haeun Daegu U-dong 1467,Busan
Busan OzHall,Busan Busanjin-gu Bujeon-dong 467-1,Busan
Almost famous,None,Busan
Interplay,None,Busan
Busan CoffeeSanchek,Busan Jung-gu Jungangdong4-ga 31-8[Jungangdaero81beon-gil 3-1],Busan
Busan HyundaiCard FinanceShop,None,Busan
BusanMBC LotteArthall,"",None
Dazzle,Busan Geumjeong-gu Jangjeon3-dong 416-45,Busan
Busandaehaggyo,Busan Geumjeong-gu Busandaehangno63beon-gil 2-0[Jangjeon-dong 40],Busan
Busan Lotte Dept.Store,Busan Jung-gu Jungangdong7-ga 20-1,Busan
Busan Realize,Busan Nam-gu Daeyeon-dong 54-29[Yongsoro7beon-gil 37],Busan
Busan Moomonk,Busan Geumjeong-gu Jangjeon-dong 416-1,Busan
Busan Culture Hall,Busan Nam-gu Daeyeon-dong 848-4,Busan
Basement,Busan Geumjeong-gu Jangjeon3-dong 418-11,Busan
Busan Soultrain,Busan Geumjeong-gu Jangjeon3-dong 389-51Beonji,Busan
Busan Arthall,Busan Nam-gu Daeyeon-dong 603-7,Busan
Busanonceonceon,Busan Geumjeong-gu Jangjeon3-dong 643-90,Busan
Busan Interplay,Busan Geumjeong-gu Jangjeon3-dong 417-3,Busan
Busan Jeonramhoe Gurim,Busan Geumjeong-gu Jangjeon3-dong 418-1,Busan
Cafe Haecceity,Busan Geumjeong-gu Jangjeon1-dong 389-20Beonji,Busan
Busan Cosmic Collabo,Bujeon2-dong 254-17,None
Crossroad,Busan Geumjeong-gu Jangjeon3-dong 389-51,Busan
BuPyeong G7,"",None
Bupyeong Art Center,"",None
BooksLibro Hongdae,Seoul Mapo-gu Donggyo-dong 166-15,Seoul
Bukchon Arthall,Seoul Jongno-gu Wonseo-dong 157-1,Seoul
Blossomland,None,Seoul
Bluelight,"",None
Blue Bird,Seoul Seodaemun-gu Yeonhui-dong 137-2,Seoul
Blueberry Cafe,Seoul Yongsan-gu Cheongparo47-gil 100,Seoul
Blue Square,"",None
Bittersweetsound,None,Seoul
Bistro6942,None,Seoul
Vihaengsool,None,Seoul
BIGSTONE,None,Seoul
LSarthall,None,Seoul
Pas de deux Meme,None,Seoul
Pas de deux Meme,None,Seoul
South Town,None,Busan
Sapiens7,Seoul Mapo-gu Seogyo-dong 369-44,Seoul
Salon NOMAD,None,Seoul
Busan Samrak Park,Busan Sasang-gu Samnak-dong,Busan
Samsung Delight,Seoul Seocho-gu Seocho2-dong 1320-10,Seoul
Samsung Life Plaza,None,Seoul
KT&G SangSangArthall,Seoul Gangnam-gu Daechi-dong 1002,Seoul
Art 1839,None,Seoul
Sangam Nurikum Square,Seoul Mapo-gu Sangam-dong 224-3,Seoul
Sad Horse,"",None
Sogang Univ. Garden,Seoul Mapo-gu Sinsu-dong 1-1[Baekbeom-ro 35],Seoul
Sogang Univ. Mary Hall,"",None
Sogang Univ.,None,Seoul
Seogyo Art Space,Seoul Mapo-gu Seogyo-dong 369-8,Seoul
Seoguipo Leejungseob St.,None,Seoul
Seoseoul Park,Seoul Yangcheon-gu Sinwol-dong San68-3,Seoul
Seoul Place,"",None
Seoul Zoo,Gyeonggi-do Gwacheon Makgye-dong 159-1,Seoul
Seoul Marina Club&Yacht,None,Seoul
Seoul Salon,Yongsan-gu Itaewon-dong 305-4,Seoul
Seoul City Hall,Seoul Jung-gu Taepyeongno1-ga 31-0[Sejong-daero 110],Seoul
Seoulyeog,Seoul Yongsan-gu Hangang-daero 403,Seoul
Seonyudo Park,None,Seoul
Seongnam Arts Center Opera House,None,Seoul
Sungsu Art Hall,None,Seoul
Sejong Theater,"",None
Sogul,Seoul Mapo-gu Donggyo-dong 169-25,Seoul
Sogeugjang ye,Seoul Mapo-gu Seogyo-dong 372-9,Seoul
Conic Torture Chamber,"",None
Social market,None,Seoul
Mt.Soyo live hall,None,Seoul
Sotong Hall,Seoul Mapo-gu Nogosan-dong 33-22,Seoul
Songjeong Beach,Busan Haeun Daegu Songjeong-dong 712-2,Busan
SHOW+TALK,None,Seoul
Sookmyung ArtCenter,"",None
Soop Kubrick,Seoul Mapo-gu Seogyo-dong 395-113,Seoul
Sheraton Walkerhill Hotel,Seoul Gwangjin-gu Gwangjang-dong 21-0,Seoul
Skyhigh,"",None
Stagefactory,Seoul Jung-gu Jangchungdong2-ga 190-10,Seoul
Atudio DH,None,Busan
Studio ChangGo,"",None
SINDANG ART SPACE,None,Seoul
Sindorim Artspace Gori,None,Seoul
Sinchon ROCK,Seoul Seodaemun-gu Changcheon-dong 72-29,Seoul
Sinchon Rush,"",Seoul
Sinchon Megabox,Seoul Seodaemun-gu Sinchon-dong 74-12,Seoul
Sinchon Miliore,Seoul Seodaemun-gu Sinchon-dong 74-12,Seoul
Sinchon Artreon,Seoul Seodaemun-gu Changcheon-dong 20-25,Seoul
Sinchon MalgunNaehol,"",None
Sinchon Blues,None,Seoul
Thunderhorse Tavern,None,Seoul
Sunshine Bar,None,Seoul
Soul Underground,Seoul Mapo-gu Donggyo-dong 166-12,Seoul
3 Thumbs,None,Seoul
Theater Cafe,Seoul Jongno-gu Dongsung-dong 1-67,Seoul
Artehall,None,Seoul
Amado art space,None,Seoul
Amenohi Coffee,Seoul Mapo-gu Donggyo-dong 184-12[Wausan-ro 168] 101Ho,Seoul
Nakwon Mall 4F,Seoul Jongno-gu Nagwon-dong 284-6,Seoul
Art Seonjae Center,"",None
Led Zepplin,None,Jeonju
ARTC-company,None,Seoul
ArtFactory 청춘,None,Seoul
Art Factory ChongChun,None,Seoul
Arthall Bom,None,Seoul
CROCBAR,Seoul Mapo-gu Seogyo-dong 411-12,Seoul
Anyang ArtCenter,Gyeonggi-do Annyang Manan-gu Annyang8-dong 550,None
Entrysite,Seoul Mapo-gu Hapjeong-dong 357-6[Tojeongno5-gil 10],Seoul
Acoustic Holic,Seoul Mapo-gu Seogyo-dong 328-18,Seoul
Acoustic Time,None,Seoul
AcousticHolic,None,Seoul
Unpluged house,None,Seoul
EVANS,Seoul Mapo-gu Seogyo-dong 407-3,Seoul
Escola Alegria,Seoul Mapo-gu Changjeon-dong 4-5,Seoul
Sbs,None,Seoul
ELLUI,Seoul Gangnam-gu Cheongdam-dong 129-0[Dosan-daero 551],Seoul
Elysian Gangchon,Gangwon-do Chuncheon Namsan-myeon Baegyang-ri 29-1,Seoul
L&S ArtHall,None,Seoul
Mnet PUB,Seoul Yeongdeungpo-gu Yeouido-dong 23-0[Gukjegeumnyung-ro 10],Seoul
MPub,None,Seoul
Yeoido Hangang Fountain,Seoul Yeongdeungpo-gu Yeouido-dong 84-1,Seoul
Yeokgok Station(South),Gyeonggi Bucheon Sosa-gu Goean-dong 113-8,None
Yeongimunhwahoegwan,Chungcheongnam-do Yeongi-gun Jochiwon-eup Chimsan-ri 226-1,None
Yonsei Univ. Hall,Seoul Seodaemun-gu Sinchon-dong 134,Seoul
Yonsei Univ Wonju,None,Seoul
Yeonggam Dabang,"",None
YU,None,Seoul
Yeongdeungpo TimeSquare,Seoul Yeongdeungpo-gu Yeongdeungpodong4-ga 441-13,Seoul
Yeongdeungpo M Pub,Seoul Yeongdeungpo-gu Yeongdeungpodong4-ga 441-13,Seoul
Seoul Art Center,Seoul Seocho-gu Seocho-dong 700,Seoul
YES24 muvhall,None,Seoul
Obaek,Seoul Mapo-gu Seogyo-dong 408-17,Seoul
Osan ArtHall,Gyeonggi Osan Osan-dong 6-9,None
Oyori,None,Seoul
Occult Byeol,Seoul Seodaemun-gu Changcheon-dong 57-33,Seoul
Auto Holic,None,Seoul
Officecoffee,Seoul Mapo-gu Changjeon-dong 390-30,Seoul
Olleh Square,Seoul Jongno-gu Se Jongno 100-0[Sejong-daero 178],Seoul
Olympus Hall,Seoul Gangnam-gu Samseong-dong 114-9,Seoul
Olympic Hall,None,Seoul
OlympicHall MuseLive,Seoul Songpa-gu Bangi-dong 88-2,Seoul
Yongsan Art Hall,None,Seoul
Halla University auditorium,None,Seoul
Ways of Seeing,Seoul Yongsan-gu Hannam-dong 684-112,Seoul
Wellihilli Park Resort,Gangwon Hoengseong-gun Dunnae-myeon Duwon-ri 204-0[Gowon-ro 451],Seoul
WelcomeTheater,Seoul Jung-gu Jangchungdong2-ga 190-10,Seoul
Unique Shadow,"",None
UNIQLO AX,Seoul Gwangjin-gu Gwangjang-dong 319-33,Seoul
U Theater,Seoul Gangnam-gu Cheongdam-dong 22-13,Seoul
Your Mind,None,Seoul
Yoon-i-sang Memorial Park,Gyeongsangnam-do Tongyeong Docheon-dong 148,Seoul
Euljiro1ga Mr Pizza,Seoul Jung-gu Euljiro2-ga 199-51,Seoul
Iri cafe,Seoul Mapo-gu Sangsu-dong 337-4,Seoul
Bookstall in Wonderland,Seoul Eunpyeong-gu Eungam-dong 89-2,Seoul
Ewha Univ. Samsung hall,Seoul Seodaemun-gu Daehyeon-dong 11-1,Seoul
Ewha Univ. StudentHall,Seoul Seodaemun-gu Ihwayeodae-gil 52-0[Daehyeon-dong 11-1],Seoul
Industrial Cabaret,None,Seoul
Indigo Stage,Seoul Mapo-gu Donggyo-dong 166-10[Hongingno6-gil 67],Seoul
INDEPLANT,None,Seoul
INDIE STAR STUDIO,None,Seoul
Indifan,Seoul Mapo-gu Sangsu-dong 322-1,Seoul
Incheon Songdo CanalWalk,Incheon Yeonsu-gu Songdo-dong 23-1,Incheon
Incheon Club Bottomline,Incheon Jung-gu Sinporo23beon-gil 19,Incheon
Incheon Art Platform,Incheon Jung-gu Haeandong1-ga 10-1,Incheon
Incheon Central ArtHall,Incheon Namdong-gu Yesul-ro 149,Incheon
Interpark ArtCenter,Seoul Mapo-gu Seogyo-dong 490,Seoul
Ilsan Jinuromi Bar,Gyeonggi-do Ilsandong-gu Janghang-dong 864-1,None
Il-san lake park,None,Seoul
Jakobi Burger,Seoul Yongsan-gu Yongsandong2-ga 45-6[Sinheung-ro 38],Seoul
Jamsil Stadium,None,Seoul
Jammers,Mapo-gu Changjeon-dong 6-139,None
Jazzclub Monk,Busan Nam-gu Daeyeon3-dong 58-34,Busan
Jack B Nimble,None,Seoul
Jeonnam Univ. Playground,Gwangju Buk-gu Yongbong-dong,Seoul
