Josanghyeog,조상혁,"",facebook.com/liebekorea
Gutz,거츠,@thegutzband,facebook.com/https://www.thegutzband
Kalria,칼리아,@calliaa90,facebook.com/calliaaa
Jeiseuteu,제이스트,"",facebook.com/https://www.#!/bandjst
AssassinationSquad,AssassinationSquad,"",""
Seukeomreideu,스컴레이드,"",""
SogyumoAcaciaBand,소규모아카시아밴드,@sogyumoda,""
TheRocktigers,락타이거즈,"",""
Fellas,펠라스,@fellasband,""
Hoochus,후추스,"",facebook.com/Hoochus
Reobeodeoki,러버더키,"",""
DeliSpice,델리스파이스,"",""
HelloStranger,헬로스트레인저,"",facebook.com/bandhellostranger
Ravienuage,하비누아쥬,"",""
Keulreob505,클럽505,@club_505,facebook.com/Club505
KopChangJeonGol,곱창전골,"",facebook.com/Kopchangjeongol?ref=hl
Christfuck,크라이스트퍽,"",""
Tyne,타인,@bandTyne,facebook.com//bandtyne
CryingNut,크라잉넛,"",""
Je8geugjang,제8극장,@Kichan8,facebook.com/theatre8
BlackDog,블랙독,"",""
CUBA,쿠바,@bandcuba2013,facebook.com/bandcuba
Ondal,온달,"",facebook.com/ondahl
Sultanofthedisco,술탄오브더디스코,"",""
Russaiteutoggi,루싸이트토끼,@lucite_tokki,""
HuckleberryFinn,허클베리핀,"",""
Raonjena,라온제나,@bandraonjaena,facebook.com/bandraonjaena
MonkeyBeatz,몽키비츠,"",facebook.com/MonkeyBeaTz1
Seunujeo,스누저,"",facebook.com/bandsnoozer
ChocolatePowder,초콜릿파우더,@choco_powder,facebook.com/BandChocolatePowder
Bbeoji,뻐지,"",""
MidnightSmokin'Drive,미드나잇스모킹드라이브,"",facebook.com/MSD1028ㅍ
SosimhanOppadl,소심한오빠들,@SosimBoys,""
FromTheAirport,프롬디에어포트,@_fromtheairport,facebook.com/FromTheAirport
BurnMyBridges,BurnMyBridges,"",facebook.com/xburnmybridgesx
Yunikon,유니콘,"",""
3rdLineButterfly,3호선버터플라이,@3rdlinebfly,facebook.com/https://www.3rdLineButterfly
Piteopaenkeompeulregseu,피터팬컴플렉스,"",facebook.com/bandpeterpancomplex
Bangulagdan,방울악단,@band_BELLBAND,""
BigBabyDriver,빅베이비드라이버,@BigBabyDriver,facebook.com/Bigbabydriver
NoBrain,노브레인,"",""
Startline,스타트라인,"",facebook.com/bandstartline
Modsdive,모즈다이브,@modsdive,""
Honggab,홍갑,@honggaap,""
SoulTrain,소울트레인SoulTrain,@Band_Soultrain,facebook.com/festivalNADA&nestNADA
NoControl,노컨트롤,"",""
Wujuagassi,우주아가씨,@wujuagassi,""
BigPhony,빅포니,"",""
Ororaseuting,오로라스팅,@shinjiyoun,""
Rukh,Rukh,"",""
성낙원,성낙원,@Nockwon,facebook.com/nockwon
Crossbones,크로스본즈,"",facebook.com/crossboneskr
AnimalAnthem,AnimalAnthem,"",facebook.com/AnimalAnthem
Gajamisonyeondan,가자미소년단,@Gajamiboy,""
TheUNITED93,더유나이티드93,"",""
Manggakhwa,망각화,@bandmanggakwha,""
Keopisonyeon,커피소년,@coffeeboy5,facebook.com/pages/%EC%BB%A4%ED%94%BC%EC%86%8C%EB%85%84Coffeeboy/106551876080959
Beulrupapeurika,블루파프리카,"",facebook.com/https://www.bluepaprikan
Soeumbaendeu,소음밴드,@bandsoum,facebook.com/souminmusic
VivaCity,비바시티,"",facebook.com/bandvivacity
NewBlueDeath,NewBlueDeath,"",facebook.com/newbluedeath
DITTOMOOD,디토무드,@stupidcomposer,facebook.com/DittoMood
Dalmaseonsaeng,달마선생,"",""
Avoid,어보이드,@a_voidtwit,facebook.com/bbandavoid
TheStray,더스트레이,@Band_stray,facebook.com/BandStray
SoundMuseum,소리박물관,@sorimuseum,facebook.com/sorimuseum
Simsojeong,심소정,"",facebook.com/summerdolcho
BandofNockwon,성낙원밴드,@Nockwon,facebook.com/nockwon
Jackinthebox,잭인더박스,@JIB_official,facebook.com/BANDJIB
Yalgaedeul,얄개들,"",facebook.com/https://www.facebook.comyalgaedle/
Siberianheoseuki,시베리안허스키,@husky_band,facebook.com/band.sh
Hoso,호소,"",facebook.com/www.hoso0205
CLUMSY,클럼지,@Bandclumsy,""
Queen'sNest,퀸즈네스트,@BandQueensNest,facebook.com/queensnest
Sonson,손손,@트위터 아이디,facebook.com/hisonson
Yeongsinho,영신호,"",facebook.com/0sinho
SeoulRiddimSuperclub,서울리딤슈퍼클럽,@seoul_riddim,facebook.com/seoulriddimsuperclub
TheCockrasher,카크래셔,"",facebook.com/steelfacerecords
Jaurim,자우림,@bandJAURIM,facebook.com/bandJAURIM
IDIOTAPE,이디오테입,@idiotape,facebook.com/Idiotape  
PearlsDay,펄스데이,"",""
Yogiingan,요괴인간,"",facebook.com/https://www.Yokayingun
Bbalganyija,빨간의자,"",""
Gimyeonseung,기면승,@ki_myunseung,facebook.com/kikimyunseung
Ninanonanda,니나노난다,@ninano_nanda,facebook.com/www.ninanonanda
